PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
Bumgarner,5.2,10,5,4,1,2,1,3.96
Ginkel,1.1,1,0,0,0,0,0,2.45
"Devenski(W, 1-0)",1.0,1,0,0,0,3,0,0.00
"Kennedy, I(S, 6)",1.0,0,0,0,0,1,0,3.06
,9.0,12,5,4,1,6,1,
