PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Plesac(L, 2-6)",6.0,6,2,2,2,3,0,3.80
Hentges,0.2,1,1,1,1,0,0,2.51
Karinchak,1.0,2,1,1,1,3,0,9.00
"Young, Al",0.1,1,0,0,0,1,0,0.00
,8.0,10,4,4,4,7,0,
