PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Hill, G(W, 1-0)",6.0,2,1,1,1,3,1,1.50
"Chafin(H, 10)",1.1,0,0,0,1,1,0,2.66
"Fulmer(H, 14)",0.2,0,0,0,0,1,0,2.10
"Soto, G(S, 16)",1.0,0,0,0,2,1,0,2.48
,9.0,2,1,1,4,6,1,
