PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
Lodolo,5.0,2,1,1,5,5,0,3.66
"Law, D(L, 2-3)",1.2,1,1,1,1,2,1,3.50
"Farmer, B",1.1,0,0,0,0,1,0,3.97
,8.0,3,2,2,6,8,1,
