PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
Dunning,3.2,6,2,2,2,7,1,5.19
"King(W, 1-0)",1.1,0,0,0,1,0,0,4.50
Burke,2.0,1,0,0,0,5,0,0.00
"Richards, G",1.0,2,2,2,2,0,1,18.00
"Martin, B",1.0,2,1,1,1,0,0,7.71
,9.0,11,5,5,6,12,2,
