PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Berríos(L, 8-5)",4.0,8,8,8,2,1,2,5.61
Pop,1.0,1,0,0,0,0,0,3.13
"Richards, T",1.0,0,0,0,1,2,0,5.15
Thornton,1.0,2,0,0,0,1,0,4.17
Cimber,1.0,1,0,0,0,0,0,3.21
Phelps,1.0,2,0,0,0,0,0,2.66
,9.0,14,8,8,3,4,2,
