PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Kelly, M",5.1,3,0,0,2,6,0,0.00
"Nelson, K(H, 1)",0.2,0,0,0,0,0,0,0.00
"Poppen(BS, 1)",1.0,2,1,1,0,0,0,2.70
"Kennedy, I",1.0,0,0,0,0,1,0,6.00
Melancon,1.0,1,0,0,0,0,0,3.00
"Ramirez, No",0.2,0,1,0,2,1,0,0.00
"Pérez, O(W, 1-1)",0.1,0,0,0,0,0,0,7.71
,10.0,6,2,1,4,8,0,
