PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Quantrill(L, 0-1)",5.0,4,4,3,3,5,2,5.40
Stephan,1.0,0,0,0,0,1,0,0.00
"De Los Santos, E",1.0,1,0,0,0,0,0,0.00
Karinchak,1.0,0,0,0,0,1,0,0.00
,8.0,5,4,3,3,7,2,
