BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,4,0,1,0,0,1,3,.260,.787
Guerrero1B,5,1,1,0,0,2,4,.278,.825
BichetteSS,5,1,2,0,0,0,3,.282,.804
KirkDH,3,0,0,1,1,0,2,.293,.809
"Hernández, TLF-RF",4,0,0,0,0,1,3,.262,.786
"Chapman, M3B",3,0,1,1,1,2,1,.237,.773
"Jansen, DC",4,0,1,0,0,0,4,.239,.780
Espinal2B,2,0,0,0,0,0,0,.263,.689
a-BiggioPH-2B,1,0,0,0,1,1,0,.218,.733
MerrifieldRF,2,0,1,0,0,1,0,.233,.619
"b-Tapia, RPH-LF",2,0,1,0,0,1,2,.264,.662
,35,2,8,2,3,9,22,,
