BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, Y3B",4,2,3,0,0,0,0,.296,.826
FrancoSS,4,1,2,0,0,0,1,.267,.715
Aranda1B,4,0,1,0,0,1,2,.367,.891
ArozarenaDH,4,1,0,2,0,0,3,.268,.789
PeraltaLF,3,0,0,1,0,0,1,.252,.748
MargotRF,4,0,2,1,0,1,0,.298,.754
BethancourtC,4,0,1,0,0,1,2,.243,.683
Walls2B,4,0,0,0,0,0,1,.173,.538
SiriCF,3,0,0,0,0,1,1,.213,.606
,34,4,9,4,0,4,11,,
