PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Burnes(W, 2-2)",6.0,5,1,1,2,5,0,2.18
"Milner(H, 1)",1.0,2,0,0,0,0,0,3.24
"Gott(H, 5)",1.0,1,0,0,0,1,0,2.25
"Williams, D(S, 3)",1.0,0,0,0,0,2,0,3.71
,9.0,8,1,1,2,8,0,
