PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
"Freeland(W, 2-5)",6.0,3,2,2,2,3,0,4.39
"Stephenson, R",1.0,1,0,0,0,1,0,6.23
Colomé,1.0,0,0,0,0,1,0,2.31
Estévez,1.0,0,0,0,0,3,0,5.03
,9.0,4,2,2,2,8,0,
