PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Peterson, D",3.2,2,4,1,4,6,0,2.97
"Holderman(W, 3-0)",0.1,0,0,0,0,1,0,0.82
"Ottavino(H, 6)",1.0,1,0,0,0,2,0,3.66
"Shreve(H, 4)",1.0,0,0,0,0,0,0,4.19
"Smith, Dr",1.1,1,0,0,1,0,0,2.25
"Rodríguez, J",0.2,1,0,0,0,0,0,4.42
Lugo,1.0,1,0,0,0,1,0,3.22
,9.0,6,4,1,5,10,0,
