PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Wilson, S",1.0,0,0,0,0,2,0,2.82
Manaea,4.0,2,1,1,0,3,0,5.15
"Johnson(L, 1-2)(BS, 1)",0.2,4,3,3,1,2,0,4.26
Morejon,2.1,1,1,1,0,1,1,4.50
Stammen,1.0,0,0,0,1,1,0,3.58
,9.0,7,5,5,2,9,1,
