PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Brubaker(W, 3-10)",7.0,2,0,0,0,7,0,4.19
"Thompson, Z.R.",0.1,3,2,2,1,0,0,5.51
Banuelos,0.2,0,0,0,1,1,0,3.22
Holderman,1.0,0,0,0,0,2,0,1.67
,9.0,5,2,2,2,10,0,
