PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
Fedde,5.0,5,2,2,2,5,1,3.60
Cishek,1.0,1,0,0,2,1,0,0.00
Doolittle,1.0,0,0,0,0,2,0,0.00
"Finnegan(W, 1-0)",1.0,0,0,0,0,1,0,0.00
"Rainey(S, 1)",1.0,1,0,0,0,0,0,0.00
,9.0,7,2,2,4,9,1,
