PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
Faedo,5.0,3,1,1,1,7,1,2.92
Chafin,1.0,0,0,0,1,2,0,2.57
"Vest(W, 1-1)",1.0,0,0,0,0,1,0,1.80
"Fulmer(H, 7)",1.0,0,0,0,0,2,0,2.57
"Soto, G(S, 12)",1.0,1,0,0,1,1,0,1.71
,9.0,4,1,1,3,13,1,
