PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Quantrill(L, 4-4)",5.0,10,5,5,1,4,1,3.77
"Castro, A",0.2,1,1,1,3,1,0,4.91
Gose,0.2,0,1,0,1,2,0,3.94
Sandlin,0.2,0,0,0,1,2,0,2.89
Hentges,1.0,0,0,0,0,1,0,1.64
,8.0,11,7,6,6,10,1,
