PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Pivetta,3.1,8,6,6,2,5,2,4.08
Ort,1.2,1,0,0,0,0,0,0.00
"Sawamura(W, 1-1)",2.0,0,0,0,0,2,0,2.78
Strahm,1.0,1,0,0,0,1,0,3.58
Brasier,1.0,1,0,0,0,0,0,4.41
,9.0,11,6,6,2,8,2,
