,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,670,637,86,180,11,71,18,.283,.312,.403,.715
6 Seasons,2822,2665,350,731,54,276,81,.274,.308,.404,.712
