Season,Team,Pos,PA,Depth (ft.),Angle
2017,NYM,6,1674,146,-15
2018,NYM,6,5288,145,-13
2019,NYM,6,5692,143,-13
2019,NYM,7,11,290,-26
2020,NYM,6,1437,143,-14
2021,CLE,6,4308,148,-11
2021,CLE,8,503,326,0
2022,CLE,6,5092,147,-11
2022,CLE,7,182,299,-27
