BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BenintendiLF,4,0,2,1,0,0,0,.305,.777
LeMahieu3B,4,0,0,0,0,1,3,.278,.782
JudgeCF-RF,4,1,2,2,0,1,0,.297,1.057
Rizzo1B,3,1,1,0,1,1,0,.222,.825
Torres2B,3,0,1,0,1,1,3,.245,.729
DonaldsonDH,3,0,0,0,1,1,1,.219,.683
"Cabrera, ORF",3,1,1,1,1,0,0,.160,.422
FlorialCF,0,0,0,0,0,0,0,.050,.186
Kiner-FalefaSS,3,0,0,0,0,1,3,.265,.632
HigashiokaC,2,0,0,0,0,2,0,.193,.594
a-TrevinoPH-C,1,1,1,0,0,0,0,.267,.727
,30,4,8,4,4,8,10,,
