PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Springs,5.0,6,4,3,1,6,0,2.56
"Poche(H, 22)",0.1,1,2,2,1,1,0,3.38
"Adam(BS, 3)",0.2,1,0,0,1,1,0,1.47
"Guerra(W, 1-0)",2.0,0,0,0,1,0,0,6.14
Fairbanks,1.0,0,0,0,1,2,0,1.23
,9.0,8,6,5,5,10,0,
