PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
"Singer(W, 3-1)",5.0,8,3,3,0,5,2,4.33
"Coleman(H, 2)",1.0,0,0,0,1,0,0,3.57
Cuas,1.0,1,0,0,0,0,0,0.00
Staumont,1.0,0,0,0,0,2,0,3.32
"Barlow, S",1.0,3,1,1,0,0,0,1.88
,9.0,12,4,4,1,7,2,
