BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MerrifieldRF,5,0,2,1,0,1,2,.221,.575
BenintendiLF,3,2,0,0,2,2,4,.315,.787
Witt Jr.SS,4,2,2,0,1,0,1,.221,.686
"Perez, SDH",5,1,2,1,0,2,4,.202,.645
MelendezC,5,1,1,2,0,1,4,.255,.759
Santana1B,4,1,4,1,1,0,0,.188,.611
Rivera3B,5,0,1,2,0,3,4,.212,.662
"Taylor, MCF",2,1,1,1,1,0,1,.259,.721
"Lopez, N2B",2,0,0,0,1,0,4,.217,.551
,35,8,13,8,6,9,24,,
