PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Kikuchi,0.2,2,3,3,4,2,0,4.44
Thornton,2.1,3,0,0,0,3,0,3.05
"Richards, T(L, 2-1)",1.1,4,3,3,1,1,0,5.68
Gage,0.2,0,0,0,1,0,0,0.00
Cimber,1.0,2,1,1,0,1,0,2.55
Merryweather,1.0,1,1,1,0,1,0,6.11
Vasquez,0.2,0,0,0,0,0,0,8.10
"Garcia, Y",0.1,1,0,0,0,1,0,2.82
,8.0,13,8,8,6,9,0,
