PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Bassitt(L, 3-2)",7.0,6,3,3,1,8,1,2.61
May,1.0,2,2,2,1,0,0,8.64
Ottavino,1.0,0,0,0,0,3,0,4.15
,9.0,8,5,5,2,11,1,
