PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Fried(W, 3-2)",6.0,4,2,2,0,6,1,3.00
"Matzek(H, 6)",0.2,0,0,0,2,1,0,3.24
"McHugh(H, 1)",0.1,0,0,0,0,1,0,5.40
"Minter(H, 3)",1.0,0,0,0,0,1,0,2.79
"Jansen(S, 7)",1.0,1,0,0,0,1,0,2.70
,9.0,5,2,2,2,10,1,
