PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gilbert, L",5.1,5,3,3,2,5,1,5.06
"Brash(H, 1)",0.2,0,0,0,0,0,0,0.00
Castillo. D,1.0,1,0,0,0,0,0,0.00
"Muñoz, A",1.0,3,2,2,0,2,1,4.91
"Sewald(H, 1)",0.2,1,2,2,0,1,0,40.50
"Ray(L, 0-1)(BS, 1)",0.0,1,1,1,0,0,1,15.00
,8.2,11,8,8,2,8,3,
