BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,4,1,0,0,1,2,2,.000,.200
PeñaSS,5,1,1,0,0,1,2,.200,.400
"Alvarez, YLF",5,2,3,5,0,0,0,.600,2.000
Bregman3B,3,1,1,2,1,0,0,.333,1.833
TuckerRF,4,0,1,0,0,2,2,.250,.500
Gurriel1B,4,1,3,1,0,0,1,.750,2.250
ManciniDH,4,0,0,0,0,1,3,.000,.000
McCormickCF,2,1,1,0,0,0,0,.500,1.000
a-VázquezPH-C,2,0,1,0,0,0,0,.500,1.000
MaldonadoC,2,0,0,0,0,2,1,.000,.000
b-DíazPH,1,0,0,0,0,0,1,.000,.000
DubónCF,0,0,0,0,0,0,0,.000,.000
c-HensleyPH,0,0,0,0,0,0,0,.000,1.000
1-MeyersPR,0,1,0,0,0,0,0,.000,.000
,36,8,11,8,2,8,12,,
