PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Bassitt(W, 8-7)",7.0,6,0,0,1,4,0,3.61
May,1.0,1,0,0,0,1,0,7.71
Givens,0.2,5,5,5,0,0,2,3.70
Lugo,0.1,1,0,0,0,0,0,3.35
,9.0,13,5,5,1,5,2,
