BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
RoblesCF,5,1,1,1,0,0,4,.231,.606
"García, LSS",5,0,2,2,0,1,4,.293,.733
"Hernandez, YDH",5,0,1,0,0,1,4,.270,.728
Meneses1B,4,0,0,0,0,0,3,.125,.625
"Ruiz, KC",4,1,2,1,0,0,0,.248,.655
Hernández2B,3,0,0,0,1,1,1,.238,.611
"Thomas, LLF",4,1,1,1,0,1,1,.234,.685
PalaciosRF,4,1,2,0,0,1,0,.286,.572
"Vargas, I3B",4,1,4,0,0,0,0,.259,.777
,38,5,13,5,1,5,17,,
