BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JudgeRF-CF,5,1,2,1,0,2,0,.284,.980
Torres2B,5,1,1,0,0,1,2,.268,.807
Rizzo1B,5,1,2,2,0,1,1,.226,.850
StantonDH,5,0,0,0,0,4,1,.232,.817
Donaldson3B,4,0,1,1,0,2,0,.231,.726
CarpenterLF,2,0,2,0,1,0,0,.328,1.251
1-GalloPR-RF,0,0,0,0,1,0,0,.166,.629
"Hicks, ACF-LF",3,1,1,1,1,1,3,.241,.723
Kiner-FalefaSS,4,0,0,0,0,1,5,.268,.633
HigashiokaC,3,0,1,0,0,0,0,.177,.553
a-LeMahieuPH,1,0,0,0,0,0,1,.264,.765
TrevinoC,0,1,0,0,0,0,0,.255,.741
,37,5,10,5,3,12,13,,
