PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Verlander(W, 11-3)",6.0,7,2,1,2,8,0,2.00
"Maton, P(H, 9)",1.0,1,0,0,0,1,0,3.63
"Montero(H, 13)",1.0,0,0,0,0,3,0,1.87
"Pressly(S, 18)",1.0,0,0,0,0,1,0,3.38
,9.0,8,2,1,2,13,0,
