PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
"Bubic(L, 1-6)",5.1,4,3,3,6,5,2,6.84
"Mills, W",0.2,0,0,0,0,1,0,4.76
Coleman,1.0,1,0,0,2,1,0,3.41
Cuas,1.0,3,2,2,2,1,0,3.00
,8.0,8,5,5,10,8,2,
