BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,2,1,1,3,2,0,0,.280,.907
DíazLF,5,0,1,1,0,1,4,.226,.621
"Alvarez, YDH",4,1,1,1,1,2,2,.312,1.075
Bregman3B,3,0,0,0,2,2,3,.239,.770
MeyersCF,3,0,1,0,1,0,4,.302,.776
Matijevic1B,2,0,0,0,1,0,1,.185,.722
Gurriel1B,1,0,0,0,0,1,0,.226,.670
DubónSS,3,1,1,0,1,1,2,.217,.586
McCormickRF,3,1,0,0,1,1,1,.225,.727
MaldonadoC,3,1,3,0,1,0,0,.160,.547
,29,5,8,5,10,8,17,,
