PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Bassitt(L, 15-9)",2.2,3,4,4,3,2,1,3.42
May,1.1,0,0,0,0,2,0,5.25
Lugo,2.0,1,1,1,0,2,1,3.60
"Smith, Dr",0.1,1,0,0,1,1,0,3.40
"Rodríguez, J",1.0,0,0,0,0,2,0,4.56
Díaz,0.2,0,0,0,0,1,0,1.34
,8.0,5,5,5,4,10,2,
