PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Morton,4.1,9,3,3,1,5,2,4.34
"Lee, D(W, 5-1)",1.1,0,0,0,1,2,0,2.15
"McHugh(H, 16)",0.1,0,0,0,0,1,0,2.63
"Iglesias, R(H, 14)",1.0,1,0,0,0,0,0,2.51
"Minter(H, 33)",1.0,1,0,0,0,1,0,2.09
"Jansen(S, 40)",1.0,0,0,0,0,0,0,3.43
,9.0,11,3,3,2,9,2,
