BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rodríguez, JCF",3,2,2,1,0,1,1,.279,.841
France1B,3,2,1,0,0,0,2,.273,.773
"Suárez, E3B",4,1,1,2,0,1,2,.236,.807
SantanaDH,4,1,1,3,0,1,0,.196,.677
WinkerLF,3,0,1,0,0,0,0,.218,.685
TrammellRF,1,0,0,0,0,1,0,.204,.690
RaleighC,4,0,1,0,0,1,1,.204,.748
Frazier2B,4,0,0,0,0,0,1,.239,.617
HaggertyRF-LF,2,0,0,0,1,1,0,.284,.807
"Crawford, JSS",2,0,1,0,1,0,0,.251,.682
,30,6,8,6,2,6,7,,
