BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Torres2B,4,1,1,0,0,1,2,.188,.376
JudgeRF,4,1,1,0,0,1,1,.125,.489
Rizzo1B,4,0,2,1,0,1,0,.286,.983
StantonDH,3,0,0,1,0,2,0,.083,.533
Donaldson3B,4,1,1,0,0,2,1,.250,.688
"Cabrera, OSS",4,0,0,0,0,2,2,.133,.533
BaderCF,3,1,1,2,0,0,0,.286,1.215
TrevinoC,3,0,0,0,0,1,0,.000,.000
"Hicks, ALF",2,0,0,0,1,0,0,.000,.333
,31,4,6,4,1,10,6,,
