,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2013,MIA,NL,62,273,240,34,69,12,1,4,16,31,66,10,0,1,.288,.370,.396,.766
,2014,MIA,NL,144,660,582,94,165,30,6,9,54,70,137,21,7,3,.284,.362,.402,.764
,2015,MIA,NL,126,525,476,63,143,30,2,7,44,47,101,16,5,2,.300,.366,.416,.782
,2016,MIA,NL,155,659,578,78,172,38,3,21,98,72,138,9,4,4,.298,.376,.483,.859
,2017,MIA,NL,156,695,602,100,170,36,2,18,81,80,137,16,2,6,.282,.369,.439,.808
*,2018,MIL,NL,147,651,574,118,187,34,7,36,110,68,135,22,4,7,.326,.402,.598,1.000
*,2019,MIL,NL,130,580,489,100,161,29,3,44,97,80,118,30,2,8,.329,.429,.671,1.100
,2020,MIL,NL,58,247,200,39,41,7,1,12,22,46,76,4,2,1,.205,.356,.430,.786
,2021,MIL,NL,117,475,399,70,99,19,2,9,51,70,113,9,3,3,.248,.362,.373,.735
,2022,MIL,NL,154,671,575,99,145,25,4,14,57,88,162,19,3,5,.252,.355,.383,.738
,10 Seasons,2 Teams,,1249,5436,4715,795,1352,260,31,174,630,652,1183,156,32,40,.287,.376,.466,.842
