Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2015,85,99,73,47,95,47,45,92,90,91,48,69,45,82,90,,
2016,95,98,89,73,96,85,79,96,92,99,40,83,36,93,92,,
2017,83,89,66,51,92,71,56,92,88,95,55,80,57,80,80,67,
2018,99,100,99,94,98,97,92,96,92,97,50,73,58,66,84,81,
2019,99,99,99,97,99,97,97,98,99,96,61,93,22,54,88,17,
2020,87,51,72,76,95,75,80,99,86,98,11,98,12,93,81,14,20
2021,61,52,30,27,89,35,42,80,94,87,32,98,45,96,81,75,23
2022,75,69,54,44,92,70,53,89,98,90,31,94,47,82,70,12,27
