Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2013,MIA,NL,273,95,73,0,1,.380,17,4,25,1172,4.293,.242,.015,.470,.108,4,0
2014,MIA,NL,660,234,159,3,2,.356,45,9,53,2812,4.261,.208,.014,.511,.119,6,2
2015,MIA,NL,525,198,174,0,0,.370,39,13,77,2125,4.048,.192,.013,.465,.116,3,1
2016,MIA,NL,659,279,273,0,5,.356,62,20,113,2715,4.120,.209,.032,.522,.185,4,1
2017,MIA,NL,695,264,239,0,6,.336,56,13,116,2883,4.148,.197,.026,.584,.156,3,0
2018,MIL,NL,651,343,220,0,2,.373,77,14,98,2532,3.889,.207,.055,.504,.272,6,1
2019,MIL,NL,580,328,185,0,3,.355,76,8,80,2284,3.938,.203,.076,.678,.342,3,2
2020,MIL,NL,247,86,90,0,0,.259,20,4,22,1100,4.453,.308,.049,.605,.225,2,0
2021,MIL,NL,475,149,149,0,3,.321,30,5,65,2012,4.236,.238,.019,.619,.125,3,0
2022,MIL,NL,671,220,201,1,2,.327,43,9,69,2747,4.094,.241,.021,.543,.130,3,0
10 Seasons,2 Teams,,5436,2196,1763,4,24,.348,465,99,718,22382,4.117,.218,.032,.551,.179,37,7
