Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,650",60.1,399,332,96,70,18,1,7,80,255,.289,.276,.413,.428,.364,.365,91.4,1,19.0,17.6
2022,Breaking,801,29.2,188,172,35,25,4,2,4,60,112,.203,.234,.320,.353,.264,.292,90.7,9,34.5,22.1
2022,Offspeed,296,10.8,79,71,14,7,3,1,3,22,49,.197,.230,.394,.416,.295,.317,91.1,0,35.0,23.2
2021,Fastballs,"1,141",56.8,278,234,63,47,9,2,5,59,176,.269,.268,.389,.400,.344,.351,91.4,3,18.5,17.9
2021,Breaking,579,28.8,112,94,17,14,3,0,0,36,60,.181,.213,.213,.310,.242,.292,90.2,4,36.2,16.7
2021,Offspeed,290,14.4,79,70,19,8,7,0,4,17,53,.271,.264,.543,.480,.379,.359,88.4,0,31.5,17.5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
