Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,23,28.7,4.28,34,14,3,67,90.2
2016,24,28.9,4.22,44,8,6,54,92.3
2017,25,28.3,4.24,31,40,15,134,80.2
2018,26,28.6,4.19,39,12,14,105,84.5
2019,27,28.7,4.16,18,9,6,82,88.1
2020,28,28.1,4.37,,19,5,95,81.2
2021,29,28.3,4.35,4,15,6,127,81.3
2022,30,28.1,4.37,8,27,5,186,70.3
