 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,107,83.8,79.4,--,--,--,--,--,--,--,--,107,79.4,--,--,--,--
2021,275,85.5,79.7,--,--,--,--,--,--,--,--,275,79.7,--,--,--,--
2022,272,88.1,81.7,--,--,--,--,--,--,--,--,272,81.7,--,--,--,--
