,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2019,AZ,NL,41,157,138,17,30,7,0,2,16,18,41,4,2,1,.217,.312,.312,.624
,2020,AZ,NL,17,70,61,9,11,0,0,0,2,7,16,1,1,0,.180,.257,.180,.437
,2021,AZ,NL,139,550,484,69,128,32,3,11,44,58,137,9,4,0,.264,.341,.411,.752
,2022,AZ,NL,125,510,443,66,119,25,1,9,56,55,98,23,3,2,.269,.349,.391,.740
,4 Seasons,AZ,NL,322,1287,1126,161,288,64,4,22,118,138,292,37,10,3,.256,.336,.378,.714
