PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
"Heasley(W, 4-8)",6.0,2,1,1,2,3,0,4.87
"Snider(H, 7)",1.0,0,0,0,0,1,0,6.27
"Hernández, C(H, 1)",1.0,0,0,0,1,1,0,7.82
"Keller, B(S, 1)",1.0,0,0,0,0,2,0,5.08
,9.0,2,1,1,3,7,0,
