PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"McKenzie(W, 5-6)",7.0,1,0,0,1,7,0,3.71
"Morgan(H, 7)",1.0,0,0,0,0,2,0,2.68
"Clase(S, 19)",1.0,0,0,0,2,1,0,1.31
,9.0,1,0,0,3,10,0,
