BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Rizzo1B,3,0,0,0,1,1,1,.223,.843
StantonDH,3,0,0,0,1,1,2,.245,.847
Donaldson3B,4,0,1,0,0,1,3,.226,.698
Torres2B-SS,4,0,0,0,0,1,4,.252,.782
TrevinoC,3,0,0,0,0,0,2,.255,.743
c-JudgePH,0,0,0,0,1,0,0,.282,.981
"Hicks, ACF",4,0,0,0,0,1,3,.221,.626
Kiner-FalefaSS,2,0,0,0,0,1,0,.258,.615
a-LeMahieuPH-2B,1,0,0,0,0,0,0,.262,.768
GalloRF-LF,3,0,0,0,0,2,0,.165,.602
GonzalezLF,1,0,0,0,0,1,0,.250,.713
b-CarpenterPH-RF,1,0,0,0,0,1,0,.286,1.293
,29,0,1,0,3,10,15,,
