BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanRF,4,0,2,0,0,1,2,.280,.726
"Rosario, ASS",2,1,1,0,2,0,1,.289,.726
Arias3B,4,0,0,0,0,3,7,.118,.236
"Reyes, FDH",4,1,2,2,0,1,0,.213,.611
"Miller, O1B",4,0,0,0,0,1,1,.241,.667
Gimenez2B,4,0,0,0,0,1,2,.303,.847
ClementLF,3,0,1,0,0,1,0,.189,.464
LeonC,3,0,1,0,0,0,1,.111,.540
StrawCF,2,0,0,0,1,1,1,.194,.536
,30,2,7,2,3,9,15,,
