Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,27,27.9,4.39,1,18,16,172,74.7
2016,28,27.0,4.41,,48,25,316,54.0
2017,29,27.0,4.42,,47,20,332,50.7
2018,30,26.7,4.45,,4,14,367,45.3
2019,31,26.7,4.49,,8,11,363,47.0
2020,32,25.9,4.73,,18,14,366,27.0
2021,33,26.1,4.68,,8,13,470,30.5
2022,34,26.1,4.68,,22,9,477,23.6
