Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2011,HOU,NL,226,88,80,0,3,.325,19,4,28,853,3.774,.212,.027,.271,.149,0,0
2012,HOU,NL,439,148,187,0,2,.290,28,18,62,1643,3.743,.219,.025,.417,.134,3,0
2013,HOU,AL,310,112,145,0,3,.319,24,8,51,1173,3.784,.265,.023,.122,.128,6,0
2014,DET,AL,480,244,206,0,6,.389,56,8,80,1873,3.902,.263,.048,.238,.238,3,1
2015,DET,AL,657,319,260,0,3,.339,73,11,100,2605,3.965,.271,.058,.298,.253,4,0
2016,DET,AL,517,246,195,0,5,.378,59,13,66,2022,3.911,.248,.043,.383,.228,4,0
2017,DET,AL,232,126,86,0,3,.338,31,10,33,874,3.767,.233,.069,.537,.325,3,0
2017,AZ,NL,257,172,117,0,1,.315,43,13,36,1037,4.035,.288,.113,.324,.440,0,1
2017,2 Teams,,489,298,203,0,4,.327,74,23,69,1911,3.908,.262,.092,.414,.387,3,1
2018,BOS,AL,649,358,216,0,7,.375,82,19,99,2519,3.881,.225,.066,.473,.299,7,0
2019,BOS,AL,657,320,226,0,5,.342,71,19,89,2463,3.749,.210,.055,.522,.252,6,0
2020,BOS,AL,237,82,109,0,2,.259,23,6,36,898,3.789,.249,.030,.373,.175,2,0
2021,BOS,AL,634,295,243,0,5,.340,73,18,107,2410,3.801,.237,.044,.367,.232,6,1
2022,BOS,AL,596,239,272,0,5,.345,60,20,79,2389,4.008,.243,.027,.359,.174,3,0
12 Seasons,4 Teams,,5891,2749,2342,0,50,.342,642,167,866,22759,3.863,.242,.048,.364,.232,47,3
