BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SlaterCF,5,3,3,1,0,1,1,.287,.851
Flores2B,5,0,1,1,0,1,3,.252,.777
"Mercedes, YLF-1B",4,3,3,4,1,0,1,.296,.906
Ruf1B,2,1,0,0,1,1,1,.222,.685
YastrzemskiRF,2,0,0,0,0,0,2,.230,.724
EstradaSS,5,2,2,3,0,1,3,.259,.732
Villar3B,4,1,2,2,0,1,0,.267,.838
"Gonzalez, LRF-LF-P",4,0,0,0,0,2,1,.295,.791
WynnsDH,3,1,1,0,1,1,1,.233,.605
Wade Jr.LF,0,0,0,0,0,0,0,.190,.614
BartC,4,2,2,1,0,2,2,.168,.626
,38,13,14,12,3,10,15,,
