PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Lorenzen(L, 5-3)",5.2,5,5,5,5,9,0,3.69
Loup,0.2,0,0,0,1,1,0,4.50
Bradley,1.0,1,2,2,1,0,0,6.57
"Ortega, O",0.2,1,0,0,0,2,0,3.52
,8.0,7,7,7,7,12,0,
