PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Wheeler(W, 4-3)",6.0,6,2,2,2,9,0,3.14
"Hand(H, 6)",1.0,0,0,0,0,0,0,1.13
"Domínguez(H, 8)",1.0,1,0,0,0,2,0,1.74
Brogdon,1.0,0,0,0,0,1,0,2.61
,9.0,7,2,2,2,12,0,
