PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Young, Al(L, 0-1)",0.2,1,3,1,2,0,0,2.87
Hjelle,5.0,3,1,1,2,6,0,5.73
Leone,0.1,1,0,0,1,1,0,4.01
"Ortiz, L.F.",2.0,1,0,0,1,1,0,0.00
,8.0,6,4,2,6,8,0,
