PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Syndergaard,4.0,3,3,3,4,3,1,4.00
"Marte, J",1.0,0,0,0,0,1,0,0.00
Wantz,1.0,2,2,1,1,2,0,3.68
Warren,1.0,1,0,0,0,0,0,3.65
Quijada,1.0,0,0,0,0,2,0,2.45
"Iglesias, R(L, 2-6)",1.0,2,1,1,2,1,0,4.65
,9.0,8,6,5,7,9,1,
