BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Stefanic2B,4,1,0,0,1,1,4,.318,.808
TroutCF,2,0,0,0,0,2,1,.270,.967
"Harrison, MCF",1,0,0,0,0,1,0,.182,.812
a-MacKinnonPH-1B,2,0,1,2,0,1,0,.200,.506
OhtaniDH,2,0,0,0,2,1,0,.255,.830
WardRF,3,0,0,0,1,1,2,.292,.896
Walsh1B-LF,4,0,0,1,0,1,2,.243,.710
RengifoSS,3,1,0,0,1,1,2,.243,.670
StassiC,3,1,0,0,1,0,1,.207,.650
Villar3B,4,1,0,0,0,2,3,.211,.553
MarshLF-CF,3,1,1,1,0,1,0,.225,.615
,31,5,2,4,6,12,15,,
