BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Anderson, TiSS",4,1,3,3,0,0,1,.462,1.385
Robert Jr.CF,4,1,1,1,0,0,2,.350,1.081
"Abreu, J1B",4,0,0,0,0,2,2,.278,.770
GrandalC,4,0,1,0,0,0,1,.200,.650
"Jiménez, ELF",2,1,1,1,0,1,0,.235,.675
"a-Garcia, LePH-LF",2,0,0,0,0,0,1,.000,.000
VaughnDH,3,1,2,0,1,1,0,.462,1.456
EngelRF,2,0,0,0,2,0,2,.300,.817
Harrison2B,3,1,0,0,0,0,4,.167,.544
Mendick2B,0,0,0,0,1,0,0,.250,.900
Burger3B,4,1,2,1,0,2,2,.300,.764
,32,6,10,6,4,6,15,,
