PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Ray(L, 1-1)",6.1,10,6,6,2,4,3,4.73
Festa,0.2,0,0,0,0,1,0,5.40
"Ramirez, Y",1.0,0,0,0,2,1,0,6.75
,8.0,10,6,6,4,6,3,
