BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Toro2B,4,0,0,0,0,1,2,.063,.188
France1B,4,1,1,2,0,1,1,.273,.862
HanigerRF,4,0,0,0,0,1,1,.120,.520
TorrensDH,2,0,1,0,0,1,0,.222,.522
a-WinkerPH-DH,2,0,0,0,0,0,0,.167,.567
"Suárez, E3B",3,1,1,0,1,2,1,.211,.724
"Rodríguez, JCF",4,0,0,0,0,3,3,.056,.216
"Crawford, JSS",4,1,3,1,0,0,1,.421,1.048
"Murphy, ToC",3,1,1,0,0,1,1,.500,1.571
c-RaleighPH,1,0,0,0,0,1,1,.200,.629
"Moore, DLF",2,0,1,1,0,0,0,.500,1.167
b-FrazierPH-LF,2,0,0,0,0,1,1,.160,.392
,35,4,8,4,1,12,12,,
