PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Keuchel(W, 1-0)",5.0,6,3,3,0,5,1,5.40
"Crick(H, 2)",1.0,0,0,0,1,1,0,3.86
"Ruiz, J(H, 2)",1.0,0,0,0,0,2,0,0.00
"Graveman(H, 3)",1.0,0,0,0,0,2,0,0.00
"Hendriks(S, 2)",1.0,2,1,0,0,2,0,9.00
,9.0,8,4,3,1,12,1,
