PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Walker, T",5.0,2,0,0,2,1,0,0.00
"May(H, 2)",1.0,1,0,0,0,0,0,7.36
"Ottavino(L, 1-1)(BS, 1)",0.2,2,3,3,2,1,1,4.70
Reid-Foley,1.0,1,1,1,0,1,1,5.40
Shreve,1.1,0,0,0,0,3,0,2.00
,9.0,6,4,4,4,6,2,
